Family,Model,Availability,Inst,Tool,Arg,Summ,Facc,Cs,Scomp,Gacc
OpenAI,GPT-5.4*,closed,35.27,23.46,12.61,35.51,17.52,14.21,18.6,31.54
OpenAI,GPT-5.4-mini*,closed,5.36,6.74,3.23,0.93,16.47,10.56,17.29,28.31
OpenAI,GPT-5.4-nano*,closed,33.93,18.18,12.02,34.24,18.43,11.96,14.77,20.3
OpenAI,GPT-oss-20B,open,1.79,0.0,0.0,0.0,1.31,0.56,1.68,3.18
Anthropic,Claude-opus-4-6*,closed,24.78,8.8,0.59,39.25,14.11,14.86,23.83,31.32
Anthropic,Claude-sonnet-4-6*,closed,23.66,4.99,0.0,33.64,12.77,12.9,20.19,25.33
Anthropic,Claude-haiku-4-5*,closed,27.46,13.78,4.69,43.93,9.35,3.36,14.11,23.08
Google,Gemini-3-flash*,closed,3.35,17.3,0.0,5.61,11.31,8.6,15.98,25.87
Google,Gemini-3-flash-lite*,closed,2.9,8.21,0.0,1.87,10.75,6.82,14.58,23.64
Qwen,Qwen3.5-9B,open,44.2,14.37,13.78,29.91,10.37,17.1,13.36,21.64
Qwen,Qwen3-8B,open,33.93,10.56,7.04,32.71,8.5,10.09,11.5,27.8
DeepSeek,DeepSeek-R1-Distill-7B,open,10.49,3.52,0.0,7.48,2.62,0.84,3.36,10.61
DeepSeek,Deepseek-llm-7b-chat,open,11.61,6.45,0.0,4.67,4.3,2.62,4.02,11.0
DeepSeek,DeepSeek-V2-Lite-Chat,open,11.83,11.14,0.29,0.0,3.83,3.55,6.54,6.96
Meta,Llama-3.1-8B-Instruct,open,23.66,7.92,0.0,6.54,7.94,5.42,11.21,18.94
Meta,Llama-3.2-3B-Instruct,open,18.53,1.76,0.0,4.67,3.08,1.68,5.14,11.29
Mistral,Mistral-7B,open,18.75,14.66,0.0,9.35,2.52,1.87,3.46,9.4
Microsoft,Phi-4,open,20.09,6.45,0.0,14.02,6.36,3.36,6.17,10.65
